date,同比增长 (%)
2002-03-31,20.34158091631583
2002-06-30,30.43289052726242
2002-09-30,29.519590244869683
2002-12-31,25.484466704333098
2003-03-31,34.47071559966975
2003-06-30,26.296287631352822
2003-09-30,25.203741957906644
2003-12-31,28.683565290805717
2004-03-31,30.654346297609674
2004-06-30,34.048206159191466
2004-09-30,30.51115824629957
2004-12-31,29.100294325615593
2005-03-31,23.627773658467767
2005-06-30,23.22669565622899
2005-09-30,23.11603320234406
2005-12-31,15.050146356201358
2006-03-31,18.327312597334707
2006-06-30,24.1886910507527
2006-09-30,23.905643638568737
2006-12-31,35.70372604821742
2007-03-31,27.00985693727644
2007-06-30,22.429442813103584
2007-09-30,25.866712353566605
2007-12-31,23.495806076511478
2008-03-31,27.845157025164134
2008-06-30,29.35743570117666
2008-09-30,22.57352623564144
2008-12-31,-3.7885330454433084
2009-03-31,-11.685137022508421
2009-06-30,-8.353270308761365
2009-09-30,4.540914119826429
2009-12-31,32.91436320871928
2010-03-31,47.397399889940395
2010-06-30,41.06706491143336
2010-09-30,28.38100376375409
2010-12-31,28.479500254731622
2011-03-31,28.512780727412295
2011-06-30,25.360563919976066
2011-09-30,24.258267857563116
2011-12-31,16.11747908921685
2012-03-31,10.470637936609544
2012-06-30,7.307379805713545
2012-09-30,6.49424814462034
2012-12-31,12.309189664024704
2013-03-31,8.726478149950772
2013-06-30,10.552706386133
2013-09-30,11.176315703101652
2013-12-31,8.128806969856491
2014-03-31,6.411771711652994
2014-06-30,6.041767493699428
2014-09-30,6.069358224981931
2014-12-31,4.755612770018583
2015-03-31,0.18672106131149854
2015-06-30,1.9102161760490968
2015-09-30,-2.6299638796409925
2015-12-31,1.9271895960541026
2016-03-31,4.678460886019326
2016-06-30,1.1302218028405533
2016-09-30,8.42038534634907
2016-12-31,17.923754881110366
2017-03-31,22.6645126748184
2017-06-30,20.621979260814634
2017-09-30,20.98965086765173
2017-12-31,12.548862068338945
2018-03-31,11.862269122491103
2018-06-30,13.784497427516976
2018-09-30,13.469405383809072
2018-12-31,11.106952239465333
2019-03-31,12.429065484994863
2019-06-30,9.392709933114201
2019-09-30,8.42223034464183
2019-12-31,9.69465391752083
2020-03-31,-7.6006085444065885
2020-06-30,4.265569398073008
2020-09-30,7.919132958900578
2020-12-31,9.807860968794603
2021-03-31,31.739703161966542
2021-06-30,23.444137079575846
2021-09-30,17.428222430113998
2021-12-31,10.491769627842013
2022-03-31,12.449954486597244
2022-06-30,7.148723155788342
2022-09-30,7.295298249414893
2022-12-31,3.949708182207757
2023-03-31,1.9642815443595114
2023-06-30,1.2757266986307387
2023-09-30,1.3492522905910476
2023-12-31,-0.8269323423837664
2024-03-31,-1.0390847443402003
2024-06-30,-1.73737827474154
2024-09-30,-1.9371935722101528
